Vardas              Pavarde             Galutinis (Vid.)    
Vardas6307          Pavarde6307         7.80                
Vardas6308          Pavarde6308         6.80                
Vardas631           Pavarde631          7.20                
Vardas6311          Pavarde6311         6.60                
Vardas6313          Pavarde6313         5.00                
Vardas6315          Pavarde6315         7.00                
Vardas6316          Pavarde6316         8.40                
Vardas6317          Pavarde6317         7.20                
Vardas6318          Pavarde6318         5.60                
Vardas632           Pavarde632          8.40                
Vardas6322          Pavarde6322         6.80                
Vardas6324          Pavarde6324         7.60                
Vardas6325          Pavarde6325         7.20                
Vardas633           Pavarde633          6.80                
Vardas6331          Pavarde6331         7.80                
Vardas6334          Pavarde6334         7.40                
Vardas6337          Pavarde6337         6.60                
Vardas6338          Pavarde6338         7.00                
Vardas634           Pavarde634          7.40                
Vardas6340          Pavarde6340         5.00                
